Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
02/19/2023,52,0,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2023,83,0,83,38,5,0,5,1,0,1,0,0,0,0,0,0,0.07228915663,0,0.07228915663
02/21/2023,101,0,101,39,4,0,4,1,0,1,0,0,0,0,0,0,0.0495049505,0,0.0495049505
02/22/2023,1553,0,1553,972,55,0,55,60,0,60,0,0,0,0,0,0,0.07405022537,0,0.07405022537
02/23/2023,1127,0,1127,622,38,0,38,27,0,27,7,0,7,2,0,2,0.06566104703,0,0.06566104703
02/24/2023,428,0,428,253,14,0,14,13,0,13,0,0,0,0,0,0,0.06308411215,0,0.06308411215
02/25/2023,390,0,390,244,12,0,12,4,0,4,0,0,0,0,0,0,0.04102564103,0,0.04102564103
02/26/2023,251,0,251,127,1,0,1,2,0,2,0,0,0,0,0,0,0.01195219124,0,0.01195219124
02/27/2023,299,0,299,131,9,0,9,4,0,4,0,0,0,1,0,1,0.04682274247,0,0.04682274247
02/28/2023,184,0,184,89,5,0,5,1,0,1,0,0,0,0,0,0,0.03260869565,0,0.03260869565
03/01/2023,105,0,105,71,2,0,2,0,0,0,0,0,0,0,0,0,0.01904761905,0,0.01904761905
03/02/2023,94,0,94,47,3,0,3,0,0,0,0,0,0,0,0,0,0.03191489362,0,0.03191489362
03/03/2023,859,0,859,445,593,0,593,17,0,17,3,0,3,2,0,2,0.7159487776,0,0.7159487776
03/04/2023,152,0,152,88,135,0,135,1,0,1,1,0,1,1,0,1,0.9078947368,0,0.9078947368
03/05/2023,171,0,171,73,70,0,70,1,0,1,0,0,0,0,0,0,0.4152046784,0,0.4152046784
03/06/2023,260,0,260,131,91,0,91,10,0,10,0,0,0,1,0,1,0.3923076923,0,0.3923076923
03/07/2023,153,0,153,104,18,0,18,5,0,5,0,0,0,0,0,0,0.1503267974,0,0.1503267974
03/08/2023,624,0,624,415,349,0,349,27,0,27,2,0,2,0,0,0,0.6057692308,0,0.6057692308
03/09/2023,251,0,251,143,150,0,150,6,0,6,0,0,0,0,0,0,0.6215139442,0,0.6215139442
03/10/2023,136,0,136,102,23,0,23,3,0,3,0,0,0,0,0,0,0.1911764706,0,0.1911764706
03/11/2023,120,0,120,71,90,0,90,4,0,4,0,0,0,0,0,0,0.7833333333,0,0.7833333333
03/12/2023,117,0,117,84,30,0,30,2,0,2,0,0,0,0,0,0,0.2735042735,0,0.2735042735
03/13/2023,122,0,122,85,32,0,32,1,0,1,0,0,0,0,0,0,0.2704918033,0,0.2704918033
03/14/2023,75,0,75,55,13,0,13,0,0,0,0,0,0,0,0,0,0.1733333333,0,0.1733333333
03/15/2023,73,0,73,47,8,0,8,0,0,0,0,0,0,0,0,0,0.1095890411,0,0.1095890411
03/16/2023,130,0,130,53,20,0,20,0,0,0,0,0,0,0,0,0,0.1538461538,0,0.1538461538
03/17/2023,765,0,765,463,432,0,432,20,0,20,4,0,4,3,0,3,0.6,0,0.6
03/18/2023,171,0,171,108,45,0,45,3,0,3,1,0,1,0,0,0,0.2865497076,0,0.2865497076
03/19/2023,157,0,157,98,90,0,90,1,0,1,0,0,0,0,0,0,0.5796178344,0,0.5796178344
03/20/2023,250,0,250,123,129,0,129,2,0,2,1,0,1,0,0,0,0.528,0,0.528
03/21/2023,94,0,94,74,15,0,15,1,0,1,0,0,0,0,0,0,0.170212766,0,0.170212766
03/22/2023,70,0,70,40,30,0,30,1,0,1,0,0,0,-1,0,-1,0.4285714286,0,0.4285714286
03/23/2023,600,0,600,431,67,0,67,44,0,44,0,0,0,2,0,2,0.1883333333,0,0.1883333333
03/24/2023,224,0,224,136,47,0,47,4,0,4,0,0,0,0,0,0,0.2276785714,0,0.2276785714
03/25/2023,122,0,122,62,24,0,24,1,0,1,0,0,0,0,0,0,0.2049180328,0,0.2049180328
03/26/2023,62,0,62,46,13,0,13,3,0,3,0,0,0,0,0,0,0.2580645161,0,0.2580645161
03/27/2023,72,0,72,52,6,0,6,2,0,2,0,0,0,0,0,0,0.1111111111,0,0.1111111111
03/28/2023,601,0,601,389,15,0,15,13,0,13,3,0,3,0,0,0,0.05158069884,0,0.05158069884
03/29/2023,665,0,665,416,41,0,41,41,0,41,0,0,0,1,0,1,0.1248120301,0,0.1248120301
03/30/2023,586,0,586,332,39,0,39,37,0,37,2,0,2,5,0,5,0.1416382253,0,0.1416382253
03/31/2023,782,0,782,469,271,0,271,25,0,25,2,0,2,3,0,3,0.3849104859,0,0.3849104859
04/01/2023,170,0,170,112,29,0,29,4,0,4,0,0,0,0,0,0,0.1941176471,0,0.1941176471
04/02/2023,186,0,186,94,70,0,70,8,0,8,0,0,0,1,0,1,0.4247311828,0,0.4247311828
04/03/2023,224,0,224,76,35,0,35,3,0,3,0,0,0,0,0,0,0.1696428571,0,0.1696428571
04/04/2023,111,0,111,66,28,0,28,2,0,2,0,0,0,0,0,0,0.2702702703,0,0.2702702703
04/05/2023,97,0,97,56,54,0,54,3,0,3,0,0,0,0,0,0,0.587628866,0,0.587628866
04/06/2023,1106,0,1106,537,457,0,457,41,0,41,3,0,3,0,0,0,0.4529837251,0,0.4529837251
04/07/2023,362,0,362,186,139,0,139,10,0,10,0,0,0,0,0,0,0.4116022099,0,0.4116022099
04/08/2023,180,0,180,100,51,0,51,3,0,3,0,0,0,0,0,0,0.3,0,0.3
04/09/2023,139,0,139,73,50,0,50,1,0,1,0,0,0,0,0,0,0.3669064748,0,0.3669064748
04/10/2023,164,0,164,81,99,0,99,2,0,2,0,0,0,0,0,0,0.6158536585,0,0.6158536585
04/11/2023,258,0,258,132,93,0,93,3,0,3,0,0,0,0,0,0,0.3720930233,0,0.3720930233
04/12/2023,189,0,189,95,47,0,47,0,0,0,0,0,0,0,0,0,0.2486772487,0,0.2486772487
04/13/2023,226,0,226,92,39,0,39,1,0,1,0,0,0,0,0,0,0.1769911504,0,0.1769911504
04/14/2023,171,0,171,59,87,0,87,1,0,1,0,0,0,0,0,0,0.514619883,0,0.514619883
04/15/2023,105,0,105,56,19,0,19,1,0,1,0,0,0,0,0,0,0.1904761905,0,0.1904761905
04/16/2023,121,0,121,54,33,0,33,1,0,1,0,0,0,0,0,0,0.2809917355,0,0.2809917355
04/17/2023,226,0,226,71,65,0,65,2,0,2,0,0,0,0,0,0,0.296460177,0,0.296460177
04/18/2023,137,0,137,53,22,0,22,4,0,4,0,0,0,0,0,0,0.1897810219,0,0.1897810219
04/19/2023,322,0,322,182,11,0,11,13,0,13,0,0,0,3,0,3,0.08385093168,0,0.08385093168
04/20/2023,216,0,216,98,15,0,15,3,0,3,0,0,0,3,0,3,0.09722222222,0,0.09722222222
04/21/2023,1274,0,1274,559,1826,0,1826,20,0,20,2,0,2,0,0,0,1.450549451,0,1.450549451
04/22/2023,334,0,334,161,357,0,357,2,0,2,0,0,0,0,0,0,1.074850299,0,1.074850299
04/23/2023,251,0,251,108,114,0,114,1,0,1,0,0,0,0,0,0,0.4581673307,0,0.4581673307
04/24/2023,233,0,233,130,139,0,139,2,0,2,0,0,0,0,0,0,0.6051502146,0,0.6051502146
04/25/2023,209,0,209,83,78,0,78,3,0,3,0,0,0,0,0,0,0.3875598086,0,0.3875598086
04/26/2023,149,0,149,54,44,0,44,3,0,3,0,0,0,0,0,0,0.3154362416,0,0.3154362416
04/27/2023,123,0,123,42,34,0,34,1,0,1,0,0,0,0,0,0,0.2845528455,0,0.2845528455
04/28/2023,537,0,537,295,122,0,122,20,0,20,3,0,3,0,0,0,0.270018622,0,0.270018622
04/29/2023,300,0,300,147,155,0,155,7,0,7,0,0,0,0,0,0,0.54,0,0.54
04/30/2023,133,0,133,73,38,0,38,0,0,0,0,0,0,0,0,0,0.2857142857,0,0.2857142857
05/01/2023,190,0,190,82,140,0,140,1,0,1,0,0,0,0,0,0,0.7421052632,0,0.7421052632
05/02/2023,524,0,524,237,94,0,94,5,0,5,0,0,0,0,0,0,0.1889312977,0,0.1889312977
05/03/2023,228,0,228,118,26,0,26,5,0,5,1,0,1,1,0,1,0.1447368421,0,0.1447368421
05/04/2023,169,0,169,94,57,0,57,5,0,5,0,0,0,0,0,0,0.3668639053,0,0.3668639053
05/05/2023,790,0,790,460,144,0,144,26,0,26,3,0,3,1,0,1,0.2202531646,0,0.2202531646
05/06/2023,208,0,208,135,68,0,68,3,0,3,0,0,0,0,0,0,0.3413461538,0,0.3413461538
05/07/2023,233,0,233,112,118,0,118,1,0,1,0,0,0,0,0,0,0.5107296137,0,0.5107296137
05/08/2023,1190,0,1190,662,223,0,223,21,0,21,1,0,1,2,0,2,0.2075630252,0,0.2075630252
05/09/2023,1057,0,1057,491,67,0,67,19,0,19,0,0,0,0,0,0,0.08136234626,0,0.08136234626
05/10/2023,362,0,362,180,47,0,47,17,0,17,1,0,1,2,0,2,0.1850828729,0,0.1850828729
05/11/2023,186,0,186,117,8,0,8,4,0,4,0,0,0,0,0,0,0.06451612903,0,0.06451612903
05/12/2023,373,0,373,153,37,0,37,7,0,7,2,0,2,1,0,1,0.1260053619,0,0.1260053619
05/13/2023,99,0,99,60,4,0,4,2,0,2,0,0,0,0,0,0,0.06060606061,0,0.06060606061
05/14/2023,82,0,82,47,25,0,25,0,0,0,0,0,0,0,0,0,0.3048780488,0,0.3048780488
05/15/2023,130,0,130,66,6,0,6,0,0,0,0,0,0,0,0,0,0.04615384615,0,0.04615384615
05/16/2023,1512,0,1512,973,37,0,37,36,0,36,2,0,2,2,0,2,0.05092592593,0,0.05092592593
05/17/2023,317,0,317,176,6,0,6,16,0,16,0,0,0,0,0,0,0.06940063091,0,0.06940063091
05/18/2023,333,0,333,101,24,0,24,4,0,4,0,0,0,0,0,0,0.08408408408,0,0.08408408408
05/19/2023,1071,0,1071,608,283,0,283,39,0,39,0,0,0,1,0,1,0.3015873016,0,0.3015873016
05/20/2023,313,0,313,171,147,0,147,6,0,6,0,0,0,0,0,0,0.4888178914,0,0.4888178914
05/21/2023,311,0,311,127,80,0,80,4,0,4,0,0,0,0,0,0,0.270096463,0,0.270096463
05/22/2023,295,0,295,166,27,0,27,1,0,1,0,0,0,0,0,0,0.09491525424,0,0.09491525424
05/23/2023,924,0,924,606,13,0,13,18,0,18,1,0,1,0,0,0,0.03463203463,0,0.03463203463
05/24/2023,601,0,601,367,13,0,13,18,0,18,2,0,2,4,0,4,0.0615640599,0,0.0615640599
05/25/2023,236,0,236,152,6,0,6,7,0,7,0,0,0,0,0,0,0.05508474576,0,0.05508474576
05/26/2023,1295,0,1295,857,52,0,52,31,0,31,1,0,1,7,0,7,0.07027027027,0,0.07027027027
05/27/2023,326,0,326,239,7,0,7,2,0,2,0,0,0,0,0,0,0.02760736196,0,0.02760736196
05/28/2023,389,0,389,222,84,0,84,3,0,3,0,0,0,0,0,0,0.2236503856,0,0.2236503856
05/29/2023,1548,0,1548,992,43,0,43,21,0,21,0,0,0,1,0,1,0.04198966408,0,0.04198966408
05/30/2023,439,0,439,280,59,0,59,7,0,7,0,0,0,0,0,0,0.1503416856,0,0.1503416856
05/31/2023,333,0,333,147,34,0,34,0,0,0,0,0,0,0,0,0,0.1021021021,0,0.1021021021
06/01/2023,199,0,199,117,23,0,23,0,0,0,0,0,0,0,0,0,0.1155778894,0,0.1155778894
06/02/2023,574,0,574,327,16,0,16,25,0,25,1,0,1,2,0,2,0.07665505226,0,0.07665505226
06/03/2023,139,0,139,86,3,0,3,2,0,2,0,0,0,0,0,0,0.03597122302,0,0.03597122302
06/04/2023,130,0,130,92,16,0,16,0,0,0,0,0,0,0,0,0,0.1230769231,0,0.1230769231
06/05/2023,1365,0,1365,713,24,0,24,37,0,37,4,0,4,2,0,2,0.04908424908,0,0.04908424908
06/06/2023,382,0,382,253,10,0,10,4,0,4,1,0,1,0,0,0,0.03926701571,0,0.03926701571
06/07/2023,533,0,533,223,22,0,22,5,0,5,1,0,1,2,0,2,0.05628517824,0,0.05628517824
06/08/2023,259,0,259,162,6,0,6,2,0,2,0,0,0,0,0,0,0.03088803089,0,0.03088803089
06/09/2023,995,0,995,567,390,0,390,29,0,29,3,0,3,1,0,1,0.4251256281,0,0.4251256281
06/10/2023,331,0,331,184,164,0,164,3,0,3,0,0,0,0,0,0,0.5045317221,0,0.5045317221
06/11/2023,229,0,229,155,70,0,70,4,0,4,1,0,1,0,0,0,0.327510917,0,0.327510917
06/12/2023,423,0,423,277,121,0,121,14,0,14,0,0,0,0,0,0,0.3191489362,0,0.3191489362
06/13/2023,498,0,498,228,57,0,57,5,0,5,0,0,0,0,0,0,0.124497992,0,0.124497992
06/14/2023,3028,0,3028,2142,63,0,63,31,0,31,0,0,0,5,0,5,0.03269484808,0,0.03269484808
06/15/2023,585,0,585,439,9,0,9,7,0,7,0,0,0,0,0,0,0.02735042735,0,0.02735042735
06/16/2023,1094,0,1094,561,354,0,354,22,0,22,0,0,0,2,0,2,0.3455210238,0,0.3455210238
06/17/2023,340,0,340,242,80,0,80,3,0,3,0,0,0,0,0,0,0.2441176471,0,0.2441176471
06/18/2023,221,0,221,187,27,0,27,5,0,5,0,0,0,0,0,0,0.1447963801,0,0.1447963801
06/19/2023,354,0,354,158,55,0,55,2,0,2,0,0,0,1,0,1,0.1638418079,0,0.1638418079
06/20/2023,711,0,711,411,49,0,49,25,0,25,12,0,12,1,0,1,0.1223628692,0,0.1223628692
06/21/2023,678,0,678,294,29,0,29,18,0,18,4,0,4,1,0,1,0.07669616519,0,0.07669616519
06/22/2023,289,0,289,155,6,0,6,11,0,11,0,0,0,1,0,1,0.06228373702,0,0.06228373702
06/23/2023,126,0,126,65,2,0,2,1,0,1,1,0,1,0,0,0,0.03174603175,0,0.03174603175
06/24/2023,104,0,104,76,2,0,2,1,0,1,0,0,0,0,0,0,0.02884615385,0,0.02884615385
06/25/2023,119,0,119,74,19,0,19,1,0,1,0,0,0,0,0,0,0.1680672269,0,0.1680672269
06/26/2023,216,0,216,107,2,0,2,1,0,1,0,0,0,0,0,0,0.01388888889,0,0.01388888889
06/27/2023,101,0,101,70,4,0,4,0,0,0,0,0,0,0,0,0,0.0396039604,0,0.0396039604
06/28/2023,237,0,237,171,6,0,6,7,0,7,0,0,0,1,0,1,0.05907172996,0,0.05907172996
06/29/2023,228,0,228,102,0,0,0,4,0,4,1,0,1,1,0,1,0.02631578947,0,0.02631578947
06/30/2023,324,0,324,187,24,0,24,8,0,8,3,0,3,2,0,2,0.1141975309,0,0.1141975309
07/01/2023,175,0,175,129,3,0,3,4,0,4,1,0,1,0,0,0,0.04571428571,0,0.04571428571
07/02/2023,123,0,123,82,14,0,14,1,0,1,0,0,0,0,0,0,0.1219512195,0,0.1219512195
07/03/2023,134,0,134,94,5,0,5,1,0,1,0,0,0,0,0,0,0.0447761194,0,0.0447761194
07/04/2023,127,0,127,82,14,0,14,2,0,2,0,0,0,0,0,0,0.125984252,0,0.125984252
07/05/2023,223,0,223,116,36,0,36,3,0,3,1,0,1,1,0,1,0.1838565022,0,0.1838565022
07/06/2023,586,0,586,289,24,0,24,16,0,16,0,0,0,7,0,7,0.08020477816,0,0.08020477816
07/07/2023,196,0,196,84,34,0,34,5,0,5,0,0,0,1,0,1,0.2040816327,0,0.2040816327
07/08/2023,54,0,54,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/09/2023,81,0,81,37,15,0,15,1,0,1,0,0,0,0,0,0,0.1975308642,0,0.1975308642
07/10/2023,79,0,79,59,2,0,2,1,0,1,0,0,0,0,0,0,0.03797468354,0,0.03797468354
07/11/2023,96,0,96,52,5,0,5,3,0,3,0,0,0,0,0,0,0.08333333333,0,0.08333333333
07/12/2023,135,0,135,72,17,0,17,0,0,0,0,0,0,0,0,0,0.1259259259,0,0.1259259259
07/13/2023,107,0,107,51,11,0,11,1,0,1,0,0,0,0,0,0,0.1121495327,0,0.1121495327
07/14/2023,65,0,65,34,1,0,1,1,0,1,0,0,0,0,0,0,0.03076923077,0,0.03076923077
07/15/2023,41,0,41,24,5,0,5,0,0,0,0,0,0,0,0,0,0.1219512195,0,0.1219512195
07/16/2023,36,0,36,27,3,0,3,1,0,1,0,0,0,0,0,0,0.1111111111,0,0.1111111111
07/17/2023,65,0,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/18/2023,42,0,42,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/19/2023,34,0,34,20,2,0,2,1,0,1,0,0,0,0,0,0,0.08823529412,0,0.08823529412
07/20/2023,43,0,43,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/21/2023,29,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/22/2023,22,0,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/23/2023,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/24/2023,479,0,479,245,6,0,6,12,0,12,0,0,0,0,0,0,0.0375782881,0,0.0375782881
07/25/2023,87,0,87,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/26/2023,58,0,58,39,0,0,0,1,0,1,0,0,0,0,0,0,0.01724137931,0,0.01724137931
07/27/2023,39,0,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/28/2023,49,0,49,32,0,0,0,3,0,3,0,0,0,0,0,0,0.0612244898,0,0.0612244898
07/29/2023,20,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/30/2023,28,0,28,18,0,0,0,1,0,1,0,0,0,0,0,0,0.03571428571,0,0.03571428571
07/31/2023,22,0,22,16,0,0,0,1,0,1,0,0,0,0,0,0,0.04545454545,0,0.04545454545
08/01/2023,27,0,27,11,1,0,1,1,0,1,0,0,0,0,0,0,0.07407407407,0,0.07407407407
08/02/2023,56,0,56,14,0,0,0,-2,0,-2,0,0,0,0,0,0,-0.03571428571,0,-0.03571428571
08/03/2023,59,0,59,9,1,0,1,0,0,0,0,0,0,0,0,0,0.01694915254,0,0.01694915254
08/04/2023,57,0,57,7,12,0,12,0,0,0,0,0,0,0,0,0,0.2105263158,0,0.2105263158
08/05/2023,22,0,22,15,0,0,0,1,0,1,0,0,0,0,0,0,0.04545454545,0,0.04545454545
08/06/2023,26,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2023,618,0,618,372,15,0,15,8,0,8,0,0,0,1,0,1,0.03883495146,0,0.03883495146
08/08/2023,178,0,178,118,3,0,3,1,0,1,0,0,0,0,0,0,0.02247191011,0,0.02247191011
08/09/2023,148,0,148,75,2,0,2,1,0,1,2,0,2,0,0,0,0.03378378378,0,0.03378378378
08/10/2023,160,0,160,106,2,0,2,1,0,1,2,0,2,0,0,0,0.03125,0,0.03125
08/11/2023,147,0,147,75,1,0,1,1,0,1,1,0,1,0,0,0,0.02040816327,0,0.02040816327
08/12/2023,168,0,168,66,12,0,12,4,0,4,3,0,3,1,0,1,0.119047619,0,0.119047619
08/13/2023,73,0,73,60,1,0,1,0,0,0,0,0,0,0,0,0,0.01369863014,0,0.01369863014
08/14/2023,137,0,137,83,2,0,2,2,0,2,0,0,0,0,0,0,0.02919708029,0,0.02919708029
